SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,predefinedlabel,user-definedlabel
0,0,5.53E+01,5.38E+01,4.70E+01,5.44E+05,1.25E+05,3.67E+04,2.59E+04,2.01E+04,4.03E+04,4.07E+04,1.68E+04,0.00E+00,0.00E+00
0,1,4.36E+01,4.86E+01,2.88E+01,7.40E+05,1.61E+05,3.49E+04,2.51E+04,2.22E+04,3.74E+04,3.68E+04,1.45E+04,0.00E+00,1.00E+00
0,2,4.40E+01,4.73E+01,1.32E+01,6.94E+05,1.50E+05,3.05E+04,2.17E+04,2.19E+04,3.64E+04,3.39E+04,1.45E+04,0.00E+00,1.00E+00
0,3,5.11E+01,5.18E+01,3.47E+01,6.01E+05,1.63E+05,3.34E+04,2.63E+04,1.72E+04,4.37E+04,4.14E+04,1.66E+04,0.00E+00,0.00E+00
0,4,5.52E+01,4.75E+01,3.00E+01,5.47E+05,1.27E+05,2.31E+04,1.70E+04,1.60E+04,3.64E+04,3.60E+04,1.48E+04,0.00E+00,0.00E+00
0,5,4.98E+01,4.10E+01,3.88E+01,9.35E+05,2.82E+05,7.05E+04,4.08E+04,2.86E+04,4.15E+04,5.41E+04,2.27E+04,1.00E+00,1.00E+00
0,6,3.37E+01,4.45E+01,4.41E+01,7.83E+05,2.12E+05,3.51E+04,2.42E+04,1.99E+04,3.08E+04,3.00E+04,1.43E+04,1.00E+00,1.00E+00
0,7,4.80E+01,5.02E+01,2.83E+01,4.78E+05,1.14E+05,2.57E+04,1.62E+04,1.53E+04,3.78E+04,3.63E+04,1.37E+04,1.00E+00,0.00E+00
0,8,5.55E+01,5.29E+01,2.96E+01,9.14E+05,1.99E+05,4.23E+04,2.59E+04,2.03E+04,3.68E+04,4.54E+04,1.76E+04,1.00E+00,1.00E+00
0,9,4.99E+01,4.73E+01,3.73E+01,6.02E+05,1.31E+05,2.65E+04,2.06E+04,2.01E+04,2.92E+04,2.82E+04,1.17E+04,1.00E+00,0.00E+00
1,0,5.25E+01,6.25E+01,3.96E+01,2.66E+05,8.33E+04,2.17E+04,1.72E+04,1.93E+04,9.35E+03,5.58E+03,3.93E+03,0.00E+00,0.00E+00
1,1,4.01E+01,5.79E+01,2.58E+01,4.79E+05,1.43E+05,3.37E+04,2.29E+04,2.04E+04,1.29E+04,5.17E+03,3.66E+03,0.00E+00,1.00E+00
1,2,3.50E+01,5.38E+01,5.45E+01,6.16E+05,1.52E+05,3.87E+04,2.40E+04,1.99E+04,1.42E+04,5.22E+03,3.63E+03,0.00E+00,1.00E+00
1,3,1.60E+01,3.59E+01,3.62E+01,8.47E+05,2.80E+05,6.81E+04,3.94E+04,2.80E+04,2.66E+04,1.30E+04,3.34E+03,0.00E+00,1.00E+00
1,4,4.69E+01,5.99E+01,3.17E+01,4.02E+05,1.40E+05,3.27E+04,2.64E+04,2.46E+04,1.60E+04,1.01E+04,7.35E+03,0.00E+00,1.00E+00
1,5,6.37E+01,5.82E+01,3.53E+01,3.25E+05,9.21E+04,2.49E+04,2.21E+04,1.89E+04,1.45E+04,8.56E+03,7.15E+03,1.00E+00,0.00E+00
1,6,4.64E+01,6.38E+01,3.16E+01,3.23E+05,9.31E+04,2.48E+04,1.65E+04,1.49E+04,1.01E+04,4.40E+03,2.99E+03,1.00E+00,0.00E+00
1,7,5.26E+01,6.06E+01,2.35E+01,4.05E+05,1.11E+05,2.72E+04,2.12E+04,2.11E+04,1.26E+04,8.40E+03,5.11E+03,1.00E+00,0.00E+00
1,8,5.19E+01,6.18E+01,3.39E+01,3.59E+05,8.88E+04,2.45E+04,1.94E+04,1.77E+04,1.09E+04,5.23E+03,4.57E+03,1.00E+00,0.00E+00
1,9,4.82E+01,6.22E+01,2.92E+01,3.19E+05,8.91E+04,2.58E+04,2.21E+04,2.24E+04,1.02E+04,5.09E+03,3.39E+03,1.00E+00,0.00E+00
2,0,6.10E+01,5.33E+01,3.11E+01,1.42E+04,1.41E+04,5.97E+03,6.50E+03,5.50E+03,6.13E+03,3.28E+03,2.81E+03,0.00E+00,0.00E+00
2,1,5.68E+01,6.01E+01,3.11E+01,3.79E+04,1.79E+04,7.90E+03,9.25E+03,6.14E+03,7.15E+03,3.49E+03,2.50E+03,0.00E+00,1.00E+00
2,2,6.08E+01,6.62E+01,2.63E+01,2.77E+04,1.73E+04,6.72E+03,8.16E+03,5.93E+03,6.04E+03,2.92E+03,2.15E+03,0.00E+00,0.00E+00
2,3,4.27E+01,6.28E+01,3.63E+01,1.72E+04,1.54E+04,6.66E+03,6.36E+03,5.84E+03,5.17E+03,2.58E+03,1.78E+03,0.00E+00,0.00E+00
2,4,6.53E+01,6.10E+01,3.37E+01,2.94E+04,1.86E+04,8.59E+03,1.14E+04,1.28E+04,1.71E+04,1.04E+04,7.33E+03,0.00E+00,1.00E+00
2,5,7.70E+01,6.49E+01,4.40E+01,9.69E+04,3.85E+04,1.31E+04,1.15E+04,1.52E+04,1.29E+04,8.44E+03,6.48E+03,1.00E+00,1.00E+00
2,6,5.57E+01,5.57E+01,3.24E+01,1.71E+04,1.20E+04,5.66E+03,6.35E+03,5.87E+03,6.27E+03,2.70E+03,2.36E+03,1.00E+00,0.00E+00
2,7,4.32E+01,6.16E+01,3.46E+01,1.03E+05,2.32E+04,9.71E+03,9.02E+03,1.01E+04,1.04E+04,6.22E+03,5.26E+03,1.00E+00,1.00E+00
2,8,5.29E+01,5.85E+01,3.73E+01,3.11E+04,1.91E+04,6.37E+03,6.28E+03,6.25E+03,6.47E+03,3.25E+03,2.63E+03,1.00E+00,1.00E+00
2,9,4.22E+01,6.51E+01,3.35E+01,3.01E+04,1.75E+04,7.32E+03,7.28E+03,6.12E+03,5.71E+03,2.50E+03,2.08E+03,1.00E+00,0.00E+00
3,0,3.38E+01,4.77E+01,2.70E+01,8.34E+05,2.39E+05,6.13E+04,5.27E+04,2.34E+04,3.85E+04,2.47E+04,3.52E+03,0.00E+00,0.00E+00
3,1,6.25E+01,5.52E+01,2.90E+01,5.30E+05,1.51E+05,3.52E+04,2.15E+04,1.66E+04,1.31E+04,7.77E+03,5.08E+03,0.00E+00,0.00E+00
